,okpdtr,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,id,okpdtr_name,okz,okz_subgroup,description
66,111275.0,60000.0,2,2,6,2,50425.0,3249,Армировщик,8171,81,Операторы автоматических сборочных линий управляют
67,111400.0,30611.75,20,18,598,94,57332.256778332485,3256,Асфальтобетонщик,7114,71,Горнорабочие и рабочие других профессий по добыче
68,111415.0,75000.0,1,1,30,22,52010.0303030303,3257,Асфальтобетонщик-варильщик,8114,81,Машинисты и аппаратчики оборудования по добыче и п
69,111472.0,27000.0,1,1,14,5,53833.33333333333,3261,Аэрографщик,7316,73,Рабочие выполняющие прецизионные работы по металлу
70,111769.0,29452.15069767442,1075,920,2669,1526,49498.09817290094,3274,Бармен,5131,51,Работники по уходу за детьми оказывают помощь восп
71,111788.0,30000.0,1,1,8,5,48971.066666666666,3275,Бассейнщик,7114,71,Горнорабочие и рабочие других профессий по добыче
72,111843.0,52500.0,2,2,2,1,50281.0,3278,Бегунщик,8114,81,Машинисты и аппаратчики оборудования по добыче и п
73,111862.0,30000.0,1,1,4,2,60787.33333333333,3279,Бегунщик смесительных бегунов,8114,81,Машинисты и аппаратчики оборудования по добыче и п
74,111966.0,36256.51800847457,944,704,29012,1620,59421.90252823944,3281,Бетонщик,7111,71,Горнорабочие и рабочие других профессий по добыче
75,112009.0,23333.333333333332,3,2,325,11,58093.90909090909,3282,Битумщик,8131,81,Операторы печей отжига стекла и стеклоизделий и об
76,112066.0,35214.28571428572,14,13,674,121,53848.31688353823,3285,Боец скота,7511,75,Рабочие по обслуживанию и ремонту путевых машин и
77,112085.0,41000.0,1,1,6,4,53517.33333333333,3286,Бондарь,7522,75,Рабочие по обслуживанию и ремонту линейных сооруже
78,112121.0,92222.22222222222,9,7,15,9,88915.44444444445,3289,Бортмеханик,7232,72,Слесари-механики слесари-сборщики и слесари-ремонт
79,112174.0,51568.09667673716,331,268,52,4,65131.66666666667,3293,Бортпроводник,5111,51,Проводники железнодорожного вагона бортпроводники
80,112206.0,61888.88888888889,27,26,42,15,67955.15555555555,3296,Боцман,8350,83,Водители и машинисты подвижного оборудования управ
81,112259.0,26027.81818181818,22,9,46,5,46513.0,3301,Бригадир заготовительного отделения,3135,31,Техники и операторы оптического и электронного обо
82,112263.0,50000.0,1,1,1,1,53421.0,3302,Бригадир изыскательской русловой партии,8113,81,Бурильщики скважин и колодцев и родственные профес
83,112333.0,30000.0,1,1,5,4,57369.333333333336,3306,"Бригадир на отделке, сортировке, приемке, сдаче, пакетировке и упаковке металла и готовой продукции",8219,82,Операторы и машинисты оборудования по обработке ме
84,112371.0,29252.076923076922,13,8,933,231,55538.684279574154,3308,Бригадир на участках основного производства,8183,81,Операторы аппаратчики и машинисты промышленных уст
85,112418.0,42839.622641509435,53,42,80,36,63689.03349291324,3310,Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений,7233,72,Слесари-механики слесари-сборщики и слесари-ремонт
86,112422.0,34150.0,40,29,97,64,56982.42294658791,3311,Бригадир (освобожденный) предприятий железнодорожного транспорта и метрополитенов,7233,72,Слесари-механики слесари-сборщики и слесари-ремонт
87,112827.0,30000.0,1,1,11,7,49799.47619047619,3332,Бронировщик кабелей,7412,74,Рабочие хлебопекарно-макаронного производства конд
88,112846.0,27000.0,5,4,175,28,47897.452380952374,3333,Брошюровщик,7513,75,
89,112899.0,28285.714285714286,21,14,211,88,56519.765930851805,3336,Бункеровщик,8183,81,Операторы аппаратчики и машинисты промышленных уст
90,112920.0,57545.50898203593,167,132,1260,97,77010.99999999999,3338,Бурильщик капитального ремонта скважин,8113,81,Бурильщики скважин и колодцев и родственные профес
91,112954.0,53767.5,4,4,158,23,72077.32223868497,3340,Бурильщик шпуров,3121,31,Техники и операторы по обслуживанию ЭВМ осуществля
92,112973.0,69836.60130718954,153,128,215,44,80702.37878787877,3341,Бурильщик эксплуатационного и разведочного бурения скважин на нефть и газ,8113,81,Бурильщики скважин и колодцев и родственные профес
