,okz_subgroup,year,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,group_id,group_name
136,75,2017,22381.7299903568,1037,575,4499,712,9456.742873387568,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
137,71,2018,31748.66961756374,2824,1541,83643,15147,11691.710126818409,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
138,72,2018,33519.28242677824,1912,1123,29976,9793,13272.441621849703,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
139,73,2018,22378.5,118,68,1930,607,9982.364424620886,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
140,74,2018,34741.77730192719,467,287,6506,1745,12604.415564653991,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
141,75,2018,24273.82423681776,1081,610,26726,5152,10009.86545571107,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
142,71,2019,29263.63202545069,1886,1293,64134,14071,12548.62390351757,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
143,72,2019,30788.15846153846,1300,927,27526,8873,14276.479991464428,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
144,73,2019,23294.804347826088,92,48,1346,549,10915.663947506551,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
145,74,2019,33462.375,328,222,5658,1700,13013.928822842034,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
146,75,2019,22050.937093275486,922,614,22622,4410,10679.356623716289,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
147,71,2020,35103.5028333963,7941,7447,69143,14966,13523.433650498648,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
148,72,2020,36263.21975308642,5670,5292,30180,9362,15137.74829902649,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
149,73,2020,33372.44,750,699,1564,586,11233.622101426996,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
150,74,2020,37644.959336099586,1205,1120,7160,1812,14133.778692963775,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
151,75,2020,26706.771129707115,7170,6758,23671,4587,11481.089759091125,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
152,71,2021,35445.664877300616,2608,2474,64708,14868,14480.41665509769,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
153,72,2021,37674.866598778004,1964,1838,30016,9163,16410.386232321474,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
154,73,2021,35154.65573770492,183,171,1791,612,12436.262915537023,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
155,74,2021,37574.66270783848,421,406,5377,1700,15055.679173248705,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
156,75,2021,27985.136918210574,2213,2110,21719,4501,12496.59608923858,7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
157,81,2016,33965.350634371396,867,487,31,3,12440.916666666666,8,Неквалифицированные рабочие
158,82,2016,29869.595238095237,168,100,5,4,14543.25,8,Неквалифицированные рабочие
159,83,2016,31673.526789366053,2445,1566,45,7,16491.75,8,Неквалифицированные рабочие
160,81,2017,32086.24762574745,2843,1619,4429,678,11140.019791549928,8,Неквалифицированные рабочие
161,82,2017,29985.659574468085,611,360,967,300,11468.258357270322,8,Неквалифицированные рабочие
162,83,2017,32299.624563999576,9461,6188,9295,1791,13364.153367875211,8,Неквалифицированные рабочие
163,81,2018,33016.933634992456,1989,1105,30631,6177,11170.599026692074,8,Неквалифицированные рабочие
164,82,2018,30450.431235431235,429,245,7839,2337,12373.336671060197,8,Неквалифицированные рабочие
165,83,2018,33741.553237101616,6997,4618,56654,15746,12851.514458613878,8,Неквалифицированные рабочие
166,81,2019,28526.34867256637,1695,1130,28188,5967,12050.003857556141,8,Неквалифицированные рабочие
167,82,2019,26537.60322580645,310,227,6606,2080,12899.595955452742,8,Неквалифицированные рабочие
168,83,2019,31169.449571522742,4551,3573,60380,14428,13824.371339122878,8,Неквалифицированные рабочие
169,81,2020,33658.34020618557,4947,4606,29282,6090,13113.80745752605,8,Неквалифицированные рабочие
170,82,2020,33233.93225480283,989,926,8036,2223,13825.324848753002,8,Неквалифицированные рабочие
171,83,2020,37025.51674808095,20062,18822,59478,14923,14798.64744301327,8,Неквалифицированные рабочие
172,81,2021,33309.8275862069,2088,2001,30586,6752,14291.025438515457,8,Неквалифицированные рабочие
173,82,2021,33290.06432748538,342,320,8336,2333,15113.576040780159,8,Неквалифицированные рабочие
174,83,2021,37394.7854032137,6659,6339,55054,15392,16259.504248166475,8,Неквалифицированные рабочие
175,91,2016,14611.256097560976,492,242,6,4,5933.0,9,Неопределённая ОКЗ
176,93,2016,18541.53947368421,760,443,126,5,12977.25,9,Неопределённая ОКЗ
177,91,2017,15358.36820083682,1912,841,3833,1191,6220.988608759903,9,Неопределённая ОКЗ
178,93,2017,19411.16733067729,3012,1662,3581,725,8034.988447469971,9,Неопределённая ОКЗ
179,96,2017,19532.47342995169,207,126,90,17,8465.29411764706,9,Неопределённая ОКЗ
180,91,2018,16670.823222748815,2110,965,36732,13601,7413.665144604518,9,Неопределённая ОКЗ
181,93,2018,21708.384321223708,3661,2185,47258,9716,8611.354916485456,9,Неопределённая ОКЗ
182,96,2018,18328.72277227723,202,130,1605,262,7805.3742421229745,9,Неопределённая ОКЗ
183,91,2019,18216.628556910568,1968,1320,32978,12470,7924.692994971684,9,Неопределённая ОКЗ
184,92,2019,20000.0,1,1,7,5,8050.45,9,Неопределённая ОКЗ
185,93,2019,20621.212696096314,2741,1963,41933,9015,9320.477820607244,9,Неопределённая ОКЗ
186,96,2019,21107.367088607596,79,55,2767,252,8772.188724671889,9,Неопределённая ОКЗ
187,91,2020,19790.84274952919,4248,3922,35262,13071,8403.116208177098,9,Неопределённая ОКЗ
188,92,2020,18502.5,2,1,11,3,11615.0,9,Неопределённая ОКЗ
189,93,2020,25002.43295868292,6317,5882,44575,8722,10256.573352583244,9,Неопределённая ОКЗ
190,96,2020,27340.6974522293,314,295,2665,219,9176.956418926382,9,Неопределённая ОКЗ
191,91,2021,20478.04817204301,2325,2235,32137,13150,8988.47796142362,9,Неопределённая ОКЗ
192,92,2021,15000.0,1,1,18,7,9372.607142857143,9,Неопределённая ОКЗ
193,93,2021,24594.34731707317,3075,2969,40818,9002,11490.343680288308,9,Неопределённая ОКЗ
194,96,2021,26641.304347826088,92,85,2986,228,11391.453076474647,9,Неопределённая ОКЗ
195,61,2017,17734.848484848484,528,248,1429,225,8391.507777777777,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
196,62,2017,34000.0,36,20,240,59,12121.55346285861,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
197,61,2018,18733.355473554737,813,415,13243,2027,8730.269921853393,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
198,62,2018,27092.196428571428,56,21,1831,397,12032.705473500026,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
199,61,2019,20072.98532494759,477,315,12979,1814,9610.839795357178,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
200,62,2019,30043.189655172413,58,34,1616,288,13180.17779772527,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
201,61,2020,23821.2934888241,1029,961,14550,1953,10344.149449265606,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
202,62,2020,30404.82899628253,269,251,1465,312,15144.215096325435,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
203,61,2021,23926.449799196787,498,467,10302,1765,11270.049333132867,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
204,62,2021,39736.33928571428,112,104,2188,290,15703.812295856596,6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
